,log2FoldChange,lfcSE
CLEC3A,0.0125999780856762,0.262393594300533
CTA-254O6.1,0.0127632320504778,0.26239808656228897
RP11-406H4.1,0.0127632320504778,0.26239808656228897
LINC01033,0.0333824220508546,0.3945514000416121
RP11-758P17.2,0.0133425283030923,0.266887310866073
AC018693.6,0.0127632320504778,0.26239808656228897
CYP4A22,0.0204438186755157,0.322624855211885
TRBV5-7,0.0127087128800387,0.262396298783779
CHKB-CPT1B,0.0133424475374111,0.266886564861922
FAM74A1,0.012796335616973001,0.262397116717598
HIST1H2AD,0.0179790477993064,0.305051504039257
AP000439.3,0.04574296661888501,0.44405824212438
RP11-521L9.1,0.0178568702625837,0.305048086571933
CTC-558O2.2,0.0586371593829382,0.4776831197186379
RP11-243A14.1,0.015600193410353002,0.286416743104438
RP11-58K22.5,0.0127087128800387,0.262396298783779
RP11-513H8.1,0.0127632320504778,0.26239808656228897
CTC-255N20.1,0.0629467394787242,0.48753762716534293
LINC01320,0.0128294397221968,0.262396143347072
ERVMER61-1,0.0179794978902989,0.30505492809711304
RP11-165E7.1,0.0255481127829997,0.35452795596714703
CTA-250D10.19,0.0127632320504778,0.26239808656228897
PFKFB1,0.0178567183348207,0.305046923227099
VGLL2,0.0282910298766625,0.370924355491223
RP3-416J7.4,0.0127632320504778,0.26239808656228897
RP4-799D16.1,0.0280333519615161,0.3699132576023039
BMPR1B-AS1,0.0128294382237777,0.26239613076416
RP11-219E7.1,0.0177350862395072,0.305047674723637
LINC00907,0.0179784677958803,0.30504709132374797
RP11-61A14.4,0.027959270805367,0.36886389478528403
RP3-473L9.4,0.16240640543603302,0.48353388432956
RP11-468H14.2,0.032935568612011,0.394543614770599
CTC-550B14.7,0.051396233321235,0.459026088505536
CTSE,0.0127963352024761,0.262397113267318
RP3-483K16.4,0.0307615361072823,0.38218106500151894
RP3-471C18.2,0.0128294372159393,0.26239612229687304
AL022344.7,0.0307620970886972,0.38218389620305004
LINC01122,0.0303524271359684,0.38219226561454
CTB-127C13.1,0.0156006387382593,0.286420469150484
MIR3179-3,0.0360001780606223,0.406019171642679
AC016735.1,0.0155997210563027,0.28641279291674604
RP11-65J21.1,0.0156007497157388,0.28642139701371006
RP11-588H23.3,0.0963177125753733,0.523293225609442
AC007879.2,0.0179788298445144,0.305049846647627
RP11-353N14.1,0.0127418148962878,0.26239531638100305
CYP21A2,0.0454376303969189,0.44405801831902797
APOC4,0.0127632320504778,0.26239808656228897
RP11-158M2.4,0.0127632320504778,0.26239808656228897
NANOGP8,0.0127087128800387,0.262396298783779
RP11-768B22.2,0.0127632320504778,0.26239808656228897
GOT1L1,0.0127632320504778,0.26239808656228897
UCN,0.10488225465335302,0.524369983337692
LINC00570,0.0281489316124575,0.3688693916734721
AFAP1-AS1,0.0178564981215678,0.30504523665951194
PCDHGA1,0.0279587831045166,0.36886122223770595
RP11-364L4.3,0.0128294373644597,0.262396123551428
LINC01614,0.0152816497867474,0.28640949058483095
RP11-78I14.1,0.0204437154324281,0.32262413764452597
PDC,0.012796334339890001,0.262397106057395
FAM225B,0.0386117391033242,0.41665522411649397
RP11-380P13.1,0.0127963352024761,0.262397113267318
LINC00378,0.0127632320504778,0.26239808656228897
OLAH,0.0554932204852904,0.472092732225198
CTC-250I14.3,0.0179788607532128,0.305050080238167
NT5C1B,0.0127087128800387,0.262396298783779
RP11-501O2.5,0.0127087128800387,0.262396298783779
FAM163A,0.0127087128800387,0.262396298783779
LINC00604,0.0127963340853137,0.262397103907108
TRIM67,0.0128294381963399,0.26239613053155
RP11-20I23.1,0.0204438528740447,0.32262509489047103
AC000035.3,0.0127632320504778,0.26239808656228897
ITFG1-AS1,0.0176128429496329,0.305043698958599
AC079145.4,0.0331978833714416,0.395386347898012
TSSK6,0.0253755858949389,0.35452282403565505
